a,"Rachel ordered _ amberger, some fries, and _ soda.一（個）"
a few,Can I ask you _______questions?一些
a little,I want ______ milk in my tea.一些
a lot of,There are  _____people in the shop.許多
a.m.,I wake up every morning at 6____.上午
able,She is hurt. She is not ________ to run.能夠的
about,She did not know anything ________ the subject.關於；大約
above,There is a picture ________ the desk.在...之上
abroad,Kate studied ________ in the UK for three years.在國外
across,It took me about thirty minutes to walk ____ the bridge.越過；橫跨
actress,My mom was an __________ when she was young.女演員
afraid,I am __________of making mistakes害怕的
after,We went to the park __________school.在...之後
afternoon,I get home at 4 p.m. every __________.下午
again,Please don’t do that __________.再一次
age,He doesn’t look his __________.年齡
ago,"Long __________, there was a man called Charles.以前"
agree,Don’t just ___ with me all the time. Have your own opinion.同意
ahead,Walk straight __________ and you will find it.在前方
air,I go to the mountains every weekend to breathe some fresh ______.空氣
airplane,I want to be a pilot so I can fly an ________.飛機
airport,The plane will arrive at the ________one hour late.機場
all,_____ of the clothes hanging outside got wet in the rain.全部
almost,I _________ missed the train.幾乎
along,Walk ________ the river so that you don’t get lost in the forest.沿著
already,I have _________ done my homework.已經
also,The bookstore has books in Chinese and __ in English.也
always,She is _________ complaining about her school.總是
America,"Grandpa did’t like it in _________, so he moved back to Taiwan.美國"
American,She is an _________girl.美國的
and,My friends __________ I are going to the beach today.和
angry,She is __________ that you broke her phone.生氣的
animal,Let’s go to the zoo to see all the __________.動物
another,I’m going to have __________cup of coffee.另一個的
answer,You did’t __________ my question.回答
ant,__________ are attracted to sugar.螞蟻
any,Ron told me I could sit in __________chair I wanted.任何的
anyone,She is smarter than __________I know.任何人
anything,I don’t want to eat __________ today.任何事物
apartment,I live in an __________ downtown.公寓
appear,He didn’t __________ until 8 p.m.出現
apple,An __________ a day keeps the doctor away.蘋果
April,"In __________, everything starts to grow.四月"
arm,He has very strong __________. He can help you move the big table.手臂
around,I’ll show you __________tomorrow.四處；周圍
arrive,We ___________ home at ten o’clock last night.到達
art,There are many different kinds of _. I prefer modern __.藝術
as,She’ll soon be ______ tall ________ her mother.與...一樣
ask,Some students are too shy to __ their teachers questions.問
at,"She tried to call Justin ___ home, but he was not there.
在...地點"
August,"In Taiwan, it’s very hot in _________.八月"
aunt,My _________ is going to visit me at Christmas.伯(叔)母
autumn,Leaves turn yellow in _________.秋天
away,I really missed Dad when he went _____ on business.離開；遠離
baby,My older sister is going to be a mother. She is having a _________!嬰兒
back,Did you lock the _ _ _ _ door ?後面
bad,She cried when I told her the _ _ _ news. 不好的；拙劣的
badminton,My favorite sport is _ _ _ _ _ _ _ _ _.羽毛球
bag,"Put those books in my _ _ _, please.袋子"
bake,_ _ _ing cookies can be a lot of fun.烘烤
bakery,I get my bread from the local _ _ _ _ _ _.麵包店
balcony,We sat on the _ _ _ _ _ _ _ of our house and looked at the sea. 陽台
ball,I threw the _ _ _ _ to my friend.球
banana,Monkeys love _ _ _ _ _ _.香蕉
band,She was in a jazz _ _ _ _ in high school.樂團
bank,He stole money from the _ _ _ _.銀行
barbecue,Let’s have a _ _ _ _ _ _ _ _ this Saturday. 烤肉
baseball,"When you play _ _ _ _ _ _ _ _, you try to hit a ball with a bat.棒球"
basket,He bought a _ _ _ _ _ _ of eggs yesterday.籃子
basketball,Let’s play _ _ _ _ _ _ _ _ _ _ at the park.籃球
bat,I can hit a ball very far with a _ _ _.球棒
bath,I take a _ _ _ _ every morning. 洗澡
bathroom,You can wash up in the _ _ _ _ _ _ _ _.浴室
be,I want to _ _ a doctor in the future.是；成為
beach,They went to the _ _ _ _ _ for a swim.海灘
bean,There are _ _ _ _ growing in my backyard.豆子
bear,_ _ _ _ live in the forest.熊
beautiful,She was wearing a _ _ _ _ _ _ _ _ _ dress at the party.美麗的
because,I can’t play badmintion today _ _ _ _ _ _ _ I am very busy.因為
become,I wish I could _ _ _ _ _ _ a scientist.變成
bed,Mom asks us to go to _ _ _ at 9 p.m.床
bedroom,I live in a three-_ _ _ _ _ _ _ apartment.臥室
bee,"Every year, we get some honey from our _ _ _s.蜜蜂"
beef,He is having _ _ _ _ noodle soup.牛肉
before,You’d better think twice _ _ _ _ _ _ you do it.在...之前
begin,I could _ _ _ _ with a little song if you like.開始
behind,Jane is standing _ _ _ _ _ _ her sister.在...後面
believe,"I _ _ _ _ _ _ _ that if he tired, he could do it.相信"
bell,The school _ _ _ _ rings six times every day.鈴
belong,Tamara feels that she _ _ _ _ _ _s here.屬於
below,Amy usually wears her skirts _ _ _ _ _ the knee.在...下方
belt,I use a _ _ _ _ to hold up my pants.腰帶
bench,The old man sits on the _ _ _ _ _ in the park every day.長椅
beside,The book was _ _ _ _ _ _ the computer on the desk.在...旁邊
between,There is a ten-minute break _ _ _ _ _ _ _ classes.在...之間
big,The cake is _ _ _ enough for twenty people.大的
bike,I ride my _ _ _ _ to school every day.腳踏車
bird,I wish I could fly like a _ _ _ _.鳥
birthday,We celebrated Dad’s _ _ _ _ _ _ _ _ at a Japanese restaurant.生日
bite,Be careful! This dog _ _ _ _s.咬
black,He has short _ _ _ _ _ hair.黑色的
blackboard,The teacher is writing the answer on the _ _ _ _ _ _ _ _ _ _.黑板
blanket,"If you are cold, you can ask for a _ _ _ _ _ _ _.毯子"
blind,He can’t see anything. He is _ _ _ _ _.盲的
block,My office is three _ _ _ _ _s from here.街區
blow,_ _ _ _ the candles out quickly.吹
blue,Her eyes are as _ _ _ _ as the ocean.藍色的
boat,There is a small _ _ _ _ on the lake.船
body,He exercises every day to keep his _ _ _ _ healthy.身體
boil,He _ _ _ _ed water to make some tea.煮沸
book,"After school, we like to go to the bookstore and read comic _ _ _ _s.書"
bookstore,Ray went to the _ _ _ _ _ _ _ _ _ to buy some pencils and pens.書店
bored,I’m _ _ _ _ _. Let’s go to the movies.感到無聊的
boring,Sometimes my English lessons are _ _ _ _ _ _.無聊的
born,I was _ _ _ _ into a poor family.出生
borrow,"Can I _ _ _ _ _ _ your pink skirt, please?借入"
boss,The _ _ _ _ of the restaurant gave me a free cake for my birthday.老闆
both,_ _ _ _ men arrived at the same time.兩者都
bottle,I brought a _ _ _ _ _ _ of wine to the dinner party.瓶子
bottom,Oh no! The _ _ _ _ _ _ of the bag is wet.底部
bow,Everyone _ _ _ed when the king passed by.鞠躬；彎腰
bowl,I had a _ _ _ _ of salad for lunch.碗
box,Dan keeps all of his winter clothes in a big box.盒；箱
boy,David is a good _ _ _.男孩
bread,The baker’s job is to bake _ _ _ _ _.麵包
break,Be careful not to _ _ _ _ _ the expensive vase.打破
breakfast,I always begin my day with a large _ _ _ _ _ _ _ _ _.早餐
bridge,There is a _ _ _ _ _ _ connecting these two cities.橋
bright,I like this room. It’s _ _ _ _ _ _.明亮的
bring,Should we _ _ _ _ _ anything to the party?帶來
brother,My younger _ _ _ _ _ _ _ kept bothering me while I was doing homework.兄弟
brown,She thinks _ _ _ _ _ pants don’t go well with a red jacket.棕色的
